onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id
3.011	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s572
5.517	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.362	probe	BY	s572
7.157	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s572
9.663	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.533	probe	AY	s572
11.165	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
13.673	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.347	probe	AX	s572
15.72	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s572
18.227	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.249	probe	BY	s572
20.003	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s572
22.51	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.267	probe	BX	s572
24.15	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
26.654	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.436	probe	AX	s572
28.297	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
30.801	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.4	probe	AX	s572
32.308	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
34.815	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.384	probe	AX	s572
36.319	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s572
38.828	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.506	probe	AY	s572
40.873	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
43.38	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.506	probe	AX	s572
45.836	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
48.34	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.598	probe	AX	s572
50.251	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
52.758	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.438	probe	AX	s572
54.26	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
56.767	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.399	probe	AX	s572
58.677	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s572
61.183	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.266	probe	BX	s572
63.368	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
65.874	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.376	probe	AX	s572
67.381	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s572
69.887	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.261	probe	BY	s572
71.797	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s572
74.305	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.302	probe	BX	s572
76.624	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s572
79.133	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.54	probe	AY	s572
81.454	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s572
83.958	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.265	probe	BX	s572
85.6	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s572
88.108	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.521	probe	AY	s572
89.611	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s572
92.118	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.272	probe	BY	s572
94.027	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
96.536	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.391	probe	AX	s572
98.038	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s572
100.547	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.433	probe	AY	s572
102.865	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
105.374	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.429	probe	AX	s572
106.876	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s572
109.382	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.519	probe	AY	s572
112.108	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
114.614	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.393	probe	AX	s572
116.119	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
118.625	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.477	probe	AX	s572
120.268	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
122.775	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.382	probe	AX	s572
124.413	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
126.917	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.349	probe	AX	s572
128.695	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s572
131.204	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.264	probe	BY	s572
132.978	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
135.489	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.325	probe	AX	s572
136.994	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s572
139.498	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.308	probe	BY	s572
141.954	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
144.461	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.362	probe	AX	s572
146.104	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
148.61	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.44	probe	AX	s572
150.253	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s572
152.757	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.273	probe	BX	s572
154.263	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s572
156.768	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.324	probe	BX	s572
158.271	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
160.779	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.354	probe	AX	s572
163.102	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s572
165.606	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.553	probe	AY	s572
167.652	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
170.16	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.679	probe	AX	s572
174.11	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
176.617	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.349	probe	AX	s572
188.769	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s572
191.273	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.583	probe	AY	s572
192.912	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
195.417	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.465	probe	AX	s572
197.058	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
199.564	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.413	probe	AX	s572
201.069	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
203.575	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.478	probe	AX	s572
205.08	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
207.583	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.377	probe	AX	s572
209.493	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s572
211.998	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.256	probe	BX	s572
213.636	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
216.146	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.616	probe	AX	s572
218.197	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
220.706	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.346	probe	AX	s572
222.481	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
224.989	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.348	probe	AX	s572
226.494	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
228.997	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.407	probe	AX	s572
231.179	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s572
