onset	duration	coded_response	experiment_exp_id	item_coding	item_text	key_press	possible_responses	response_time	survey	trial_type	worker_id
1.006	8.5	2.0	survey_medley	reverse	I wish I had more self-discipline.	82	66,89,71,82,77	2.599	brief	Q15	s557
10.076	8.5	2.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	89	66,89	4.237	impulsive_venture	Q39	s557
20.371	8.5	3.0	survey_medley	forward	As I get older, I begin to experience time as limited.	71	66,89,71,82,77	4.958	future_time	Q31	s557
32.162	8.5	4.0	survey_medley	forward	I am good at resisting temptation.	82	66,89,71,82,77	3.522	brief	Q09	s557
41.368	8.5	2.0	survey_medley	forward	I tend to act without thinking when I am really excited.	89	66,89,71,82	5.052	upps	Q37	s557
50.847	8.5	5.0	survey_medley	forward	I am diligent.	77	66,89,71,82,77	4.405	grit	Q08	s557
60.801	8.5	3.0	survey_medley	reverse	I often set a goal but later choose to pursue a different one.	71	66,89,71,82,77	4.087	grit	Q05	s557
72.659	8.5	1.0	survey_medley	forward	When overjoyed, I feel like I cant stop myself from going overboard.	66	66,89,71,82	5.79	upps	Q35	s557
81.866	8.5	4.0	survey_medley	reverse	I often act without thinking through all the alternatives.	89	66,89,71,82,77	4.056	brief	Q21	s557
93.384	8.5	3.0	survey_medley	reverse	I have trouble concentrating.	71	66,89,71,82,77	3.468	brief	Q18	s557
102.386	8.5	5.0	survey_medley	forward	Most of my life lies ahead of me.	77	66,89,71,82,77	1.924	future_time	Q25	s557
111.523	8.5	3.0	survey_medley	reverse	I have a hard time breaking bad habits.	71	66,89,71,82,77	3.547	brief	Q10	s557
121.137	8.5	5.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66	66,89,71,82,77	4.724	grit	Q06	s557
130.752	8.5	4.0	survey_medley	forward	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	82	66,89,71,82	5.984	upps	Q32	s557
141.046	8.5	4.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	89	66,89,71,82,77	8.874	grit	Q01	s557
151.135	8.5	1.0	survey_medley	forward	I have the sense that time is running out.	66	66,89,71,82,77	4.028	future_time	Q29	s557
160.206	8.5	4.0	survey_medley	forward	I refuse things that are bad for me.	82	66,89,71,82,77	3.264	brief	Q14	s557
170.364	8.5	1.0	survey_medley	forward	Others would say I make bad choices when I am extremely happy about something.	66	66,89,71,82	4.035	upps	Q33	s557
180.25	8.5	3.0	survey_medley	forward	My future seems infinite to me.	71	66,89,71,82,77	4.154	future_time	Q26	s557
189.932	8.5	3.0	survey_medley	forward	When I get really happy about something, I tend to do things that can have bad consequences.	71	66,89,71,82	3.831	upps	Q34	s557
199.479	8.5	5.0	survey_medley	forward	I am able to work effectively toward long-term goals.	77	66,89,71,82,77	3.237	brief	Q19	s557
210.793	8.5	3.0	survey_medley	reverse	I say inappropriate things.	71	66,89,71,82,77	2.983	brief	Q12	s557
220.408	8.5	2.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	89	66,89,71,82	4.467	upps	Q36	s557
229.614	8.5	5.0	survey_medley	forward	I expect that I will set many new goals in the future.	77	66,89,71,82,77	3.344	future_time	Q23	s557
239.161	8.5	4.0	survey_medley	forward	My future is filled with possibilities.	82	66,89,71,82,77	2.426	future_time	Q24	s557
248.64	8.5	2.0	survey_medley	forward	People would say that I have iron self-discipline.	89	66,89,71,82,77	4.685	brief	Q16	s557
257.847	8.5	1.0	survey_medley	forward	Would you enjoy the sensation of skiing very fast down a high mountain slope?	66	66,89	3.018	impulsive_venture	Q40	s557
267.937	8.5	2.0	survey_medley	forward	I could do anything I want in the future.	89	66,89,71,82,77	3.015	future_time	Q27	s557
278.846	8.5	4.0	survey_medley	forward	There are only limited possibilities in my future.	82	66,89,71,82,77	4.168	future_time	Q30	s557
288.732	8.5	2.0	survey_medley	reverse	Sometimes I can't stop myself from doing something, even if I know it is wrong.	82	66,89,71,82,77	3.447	brief	Q20	s557
297.87	8.5	1.0	survey_medley	reverse	Pleasure and fun sometimes keep me from getting work done.	77	66,89,71,82,77	3.129	brief	Q17	s557
308.232	8.5	2.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	82	66,89,71,82,77	4.2	brief	Q13	s557
317.914	8.5	1.0	survey_medley	forward	Setbacks don't discourage me.	66	66,89,71,82,77	3.566	grit	Q02	s557
328.072	8.5	5.0	survey_medley	forward	I am a hard worker.	77	66,89,71,82,77	1.318	grit	Q04	s557
337.279	8.5	4.0	survey_medley	forward	I finish whatever I begin.	82	66,89,71,82,77	3.27	grit	Q07	s557
348.457	8.5	4.0	survey_medley	reverse	I am lazy.	89	66,89,71,82,77	2.587	brief	Q11	s557
357.732	8.5	2.0	survey_medley	forward	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	89	66,89	4.758	impulsive_venture	Q38	s557
367.346	8.5	2.0	survey_medley	forward	There is plenty of time left in my life to make new plans.	89	66,89,71,82,77	4.136	future_time	Q28	s557
376.416	8.5	3.0	survey_medley	reverse	I have been obsessed with a certain idea or project for a short time but later lost interest.	71	66,89,71,82,77	6.063	grit	Q03	s557
385.419	8.5	5.0	survey_medley	forward	Many opportunities await me in the future.	77	66,89,71,82,77	1.541	future_time	Q22	s557
