onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
3.021	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.357	71.0	False	crit_go	s641
5.278	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.418	71.0	False	noncrit_nosignal	s641
7.534	0.85	0.15	89.0	motor_selective_stop_signal	89.0	1.859	71.0	False	noncrit_signal	s641
9.889	0.85	0.15	71.0	motor_selective_stop_signal	89.0	0.994	71.0	False	crit_stop_failure	s641
12.443	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.64	71.0	False	noncrit_nosignal	s641
15.399	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.477	71.0	False	crit_stop_failure	s641
17.655	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.586	71.0	False	noncrit_nosignal	s641
20.011	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.632	71.0	False	noncrit_nosignal	s641
22.567	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.495	71.0	False	noncrit_signal	s641
24.823	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.497	71.0	False	noncrit_signal	s641
27.18	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.449	71.0	False	noncrit_signal	s641
29.735	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.43	71.0	False	noncrit_signal	s641
32.192	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.445	71.0	False	crit_go	s641
34.547	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.428	71.0	False	noncrit_nosignal	s641
37.204	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.382	71.0	False	crit_go	s641
39.76	0.85	0.05	71.0	motor_selective_stop_signal	-1.0	n/a	71.0	True	crit_stop_success	s641
42.515	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.452	71.0	False	crit_stop_failure	s641
45.07	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.68	71.0	False	noncrit_signal	s641
47.526	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.477	71.0	False	noncrit_nosignal	s641
50.281	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.47	71.0	False	noncrit_nosignal	s641
52.837	0.85	0.05	71.0	motor_selective_stop_signal	-1.0	n/a	71.0	True	crit_stop_success	s641
55.193	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.554	71.0	False	crit_go	s641
57.448	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.461	71.0	False	crit_go	s641
60.105	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.935	71.0	False	crit_stop_failure	s641
62.361	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.496	71.0	False	crit_go	s641
64.717	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.455	71.0	False	crit_go	s641
66.971	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.524	71.0	False	noncrit_nosignal	s641
