onset	duration	coded_response	experiment_exp_id	item_coding	item_text	key_press	possible_responses	response_time	survey	trial_type	worker_id
1.01	8.5	3.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	71	66,89,71,82,77	5.689	grit	Q06	s627
12.327	8.5	4.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	89	66,89,71,82,77	5.788	grit	Q01	s627
21.941	8.5	4.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	89	66,89,71,82,77	4.665	brief	Q13	s627
31.149	8.5	2.0	survey_medley	forward	I am good at resisting temptation.	89	66,89,71,82,77	4.442	brief	Q09	s627
40.695	8.5	4.0	survey_medley	reverse	I often act without thinking through all the alternatives.	89	66,89,71,82,77	4.212	brief	Q21	s627
50.173	8.5	4.0	survey_medley	forward	I am a hard worker.	82	66,89,71,82,77	2.306	grit	Q04	s627
59.382	8.5	0.0	survey_medley	forward	There is plenty of time left in my life to make new plans.	-1	66,89,71,82,77	n/a	future_time	Q28	s627
69.472	8.5	3.0	survey_medley	forward	I have the sense that time is running out.	71	66,89,71,82,77	7.258	future_time	Q29	s627
80.377	8.5	2.0	survey_medley	reverse	I have a hard time breaking bad habits.	82	66,89,71,82,77	4.166	brief	Q10	s627
90.266	8.5	2.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	89	66,89,71,82,77	3.906	impulsive_venture	Q39	s627
99.404	8.5	5.0	survey_medley	forward	I finish whatever I begin.	77	66,89,71,82,77	5.288	grit	Q07	s627
109.765	8.5	3.0	survey_medley	forward	Setbacks don't discourage me.	71	66,89,71,82,77	3.645	grit	Q02	s627
119.447	8.5	4.0	survey_medley	forward	People would say that I have iron self-discipline.	82	66,89,71,82,77	4.148	brief	Q16	s627
129.604	8.5	2.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	89	66,89,71,82,77	7.637	upps	Q36	s627
138.81	8.5	4.0	survey_medley	forward	I am able to work effectively toward long-term goals.	82	66,89,71,82,77	3.743	brief	Q19	s627
149.989	8.5	5.0	survey_medley	reverse	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66	66,89,71,82,77	4.507	brief	Q20	s627
159.267	8.5	3.0	survey_medley	forward	As I get older, I begin to experience time as limited.	71	66,89,71,82,77	4.677	future_time	Q31	s627
168.882	8.5	1.0	survey_medley	forward	Others would say I make bad choices when I am extremely happy about something.	66	66,89,71,82,77	8.362	upps	Q33	s627
177.953	8.5	3.0	survey_medley	reverse	Pleasure and fun sometimes keep me from getting work done.	71	66,89,71,82,77	3.119	brief	Q17	s627
186.956	8.5	5.0	survey_medley	forward	I am diligent.	77	66,89,71,82,77	3.267	grit	Q08	s627
201.264	8.5	2.0	survey_medley	forward	I tend to act without thinking when I am really excited.	89	66,89,71,82,77	3.822	upps	Q37	s627
210.337	8.5	4.0	survey_medley	reverse	I say inappropriate things.	89	66,89,71,82,77	4.541	brief	Q12	s627
220.63	8.5	4.0	survey_medley	forward	My future is filled with possibilities.	82	66,89,71,82,77	3.116	future_time	Q24	s627
232.42	8.5	3.0	survey_medley	reverse	I have trouble concentrating.	71	66,89,71,82,77	3.003	brief	Q18	s627
241.625	8.5	2.0	survey_medley	forward	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	89	66,89,71,82,77	3.651	impulsive_venture	Q38	s627
251.103	8.5	5.0	survey_medley	forward	I expect that I will set many new goals in the future.	77	66,89,71,82,77	5.502	future_time	Q23	s627
261.057	8.5	2.0	survey_medley	forward	There are only limited possibilities in my future.	89	66,89,71,82,77	4.267	future_time	Q30	s627
272.914	8.5	4.0	survey_medley	reverse	I have been obsessed with a certain idea or project for a short time but later lost interest.	89	66,89,71,82,77	6.857	grit	Q03	s627
282.124	8.5	3.0	survey_medley	forward	I could do anything I want in the future.	71	66,89,71,82,77	3.894	future_time	Q27	s627
293.642	8.5	1.0	survey_medley	forward	When overjoyed, I feel like I cant stop myself from going overboard.	66	66,89,71,82,77	7.082	upps	Q35	s627
302.648	8.5	4.0	survey_medley	forward	Most of my life lies ahead of me.	82	66,89,71,82,77	3.377	future_time	Q25	s627
311.789	8.5	4.0	survey_medley	reverse	I am lazy.	89	66,89,71,82,77	3.685	brief	Q11	s627
321.402	8.5	3.0	survey_medley	forward	I refuse things that are bad for me.	71	66,89,71,82,77	4.313	brief	Q14	s627
331.017	8.5	4.0	survey_medley	forward	Many opportunities await me in the future.	82	66,89,71,82,77	2.382	future_time	Q22	s627
341.315	8.5	4.0	survey_medley	reverse	I often set a goal but later choose to pursue a different one.	89	66,89,71,82,77	4.943	grit	Q05	s627
351.407	8.5	1.0	survey_medley	forward	When I get really happy about something, I tend to do things that can have bad consequences.	66	66,89,71,82,77	5.011	upps	Q34	s627
360.477	8.5	3.0	survey_medley	forward	My future seems infinite to me.	71	66,89,71,82,77	2.826	future_time	Q26	s627
370.634	8.5	3.0	survey_medley	forward	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	71	66,89,71,82,77	6.189	upps	Q32	s627
380.519	8.5	2.0	survey_medley	reverse	I wish I had more self-discipline.	82	66,89,71,82,77	4.569	brief	Q15	s627
390.202	8.5	2.0	survey_medley	forward	Would you enjoy the sensation of skiing very fast down a high mountain slope?	89	66,89,71,82,77	3.645	impulsive_venture	Q40	s627
