onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
3.016	0.85	0.1	71.0	motor_selective_stop_signal	89.0	0.573	89.0	False	noncrit_signal	s593
5.273	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.573	89.0	False	noncrit_nosignal	s593
7.525	0.85	0.1	89.0	motor_selective_stop_signal	71.0	0.495	89.0	False	crit_stop_failure	s593
10.378	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.463	89.0	False	noncrit_nosignal	s593
12.73	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.506	89.0	False	noncrit_nosignal	s593
14.982	0.85	0.05	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s593
17.238	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.587	89.0	False	crit_go	s593
19.493	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.523	89.0	False	noncrit_nosignal	s593
21.845	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.679	89.0	False	crit_go	s593
24.501	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.516	89.0	False	crit_stop_failure	s593
27.257	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.672	89.0	False	noncrit_nosignal	s593
29.509	0.85	0.05	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s593
32.265	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.914	89.0	False	noncrit_signal	s593
34.518	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.796	89.0	False	noncrit_nosignal	s593
36.87	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.621	89.0	False	noncrit_nosignal	s593
39.224	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.621	89.0	False	crit_go	s593
41.78	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.529	89.0	False	noncrit_nosignal	s593
44.036	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.75	89.0	False	noncrit_signal	s593
46.292	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.521	89.0	False	crit_go	s593
