onset	duration	coded_response	experiment_exp_id	item_coding	item_text	key_press	possible_responses	response_time	survey	trial_type	worker_id
1.007	8.5	2.0	survey_medley	reverse	Pleasure and fun sometimes keep me from getting work done.	82	66,89,71,82,77	5.214	brief	Q17	s622
11.372	8.5	2.0	survey_medley	forward	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	89	66,89,71,82,77	8.223	upps	Q32	s622
21.056	8.5	3.0	survey_medley	forward	I am good at resisting temptation.	71	66,89,71,82,77	3.998	brief	Q09	s622
31.213	8.5	3.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	71	66,89,71,82,77	5.418	grit	Q01	s622
40.42	8.5	2.0	survey_medley	forward	There are only limited possibilities in my future.	89	66,89,71,82,77	5.297	future_time	Q30	s622
51.598	8.5	2.0	survey_medley	forward	I refuse things that are bad for me.	89	66,89,71,82,77	4.999	brief	Q14	s622
60.875	8.5	4.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	89	66,89,71,82,77	6.465	grit	Q06	s622
70.49	8.5	3.0	survey_medley	forward	I could do anything I want in the future.	71	66,89,71,82,77	3.816	future_time	Q27	s622
79.561	8.5	4.0	survey_medley	forward	People would say that I have iron self-discipline.	82	66,89,71,82,77	4.061	brief	Q16	s622
88.566	8.5	2.0	survey_medley	forward	I tend to act without thinking when I am really excited.	89	66,89,71,82,77	5.572	upps	Q37	s622
102.874	8.5	4.0	survey_medley	forward	I finish whatever I begin.	82	66,89,71,82,77	4.162	grit	Q07	s622
111.946	8.5	4.0	survey_medley	reverse	I often set a goal but later choose to pursue a different one.	89	66,89,71,82,77	3.64	grit	Q05	s622
122.24	8.5	3.0	survey_medley	forward	As I get older, I begin to experience time as limited.	71	66,89,71,82,77	4.848	future_time	Q31	s622
134.029	8.5	3.0	survey_medley	forward	My future is filled with possibilities.	71	66,89,71,82,77	4.08	future_time	Q24	s622
143.234	8.5	2.0	survey_medley	forward	My future seems infinite to me.	89	66,89,71,82,77	3.622	future_time	Q26	s622
152.716	8.5	2.0	survey_medley	reverse	I wish I had more self-discipline.	82	66,89,71,82,77	4.273	brief	Q15	s622
162.674	8.5	4.0	survey_medley	forward	Most of my life lies ahead of me.	82	66,89,71,82,77	4.58	future_time	Q25	s622
174.53	8.5	3.0	survey_medley	forward	There is plenty of time left in my life to make new plans.	71	66,89,71,82,77	6.279	future_time	Q28	s622
183.738	8.5	4.0	survey_medley	forward	I am able to work effectively toward long-term goals.	82	66,89,71,82,77	4.277	brief	Q19	s622
195.257	8.5	4.0	survey_medley	reverse	I say inappropriate things.	89	66,89,71,82,77	3.408	brief	Q12	s622
204.262	8.5	4.0	survey_medley	forward	Many opportunities await me in the future.	82	66,89,71,82,77	5.213	future_time	Q22	s622
213.402	8.5	3.0	survey_medley	reverse	I am lazy.	71	66,89,71,82,77	3.256	brief	Q11	s622
223.018	8.5	5.0	survey_medley	reverse	I have been obsessed with a certain idea or project for a short time but later lost interest.	66	66,89,71,82,77	6.795	grit	Q03	s622
232.632	8.5	0.0	survey_medley	forward	Would you enjoy the sensation of skiing very fast down a high mountain slope?	71	66,89,71,82,77	4.907	impulsive_venture	Q40	s622
242.927	8.5	4.0	survey_medley	forward	When overjoyed, I feel like I cant stop myself from going overboard.	82	66,89,71,82,77	7.298	upps	Q35	s622
253.018	8.5	3.0	survey_medley	forward	I am a hard worker.	71	66,89,71,82,77	5.947	grit	Q04	s622
262.091	8.5	4.0	survey_medley	reverse	I have trouble concentrating.	89	66,89,71,82,77	4.981	brief	Q18	s622
272.251	8.5	3.0	survey_medley	forward	I have the sense that time is running out.	71	66,89,71,82,77	4.89	future_time	Q29	s622
282.139	8.5	3.0	survey_medley	reverse	I often act without thinking through all the alternatives.	71	66,89,71,82,77	6.8	brief	Q21	s622
291.825	8.5	3.0	survey_medley	reverse	I have a hard time breaking bad habits.	71	66,89,71,82,77	6.539	brief	Q10	s622
301.372	8.5	2.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	89	66,89,71,82,77	6.867	upps	Q36	s622
312.688	8.5	4.0	survey_medley	forward	Setbacks don't discourage me.	82	66,89,71,82,77	6.652	grit	Q02	s622
322.301	8.5	2.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	82	66,89,71,82,77	6.153	brief	Q13	s622
331.509	8.5	2.0	survey_medley	forward	Others would say I make bad choices when I am extremely happy about something.	89	66,89,71,82,77	6.001	upps	Q33	s622
341.058	8.5	2.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	89	66,89,71,82,77	4.317	impulsive_venture	Q39	s622
350.536	8.5	2.0	survey_medley	forward	When I get really happy about something, I tend to do things that can have bad consequences.	89	66,89,71,82,77	6.742	upps	Q34	s622
359.742	8.5	5.0	survey_medley	forward	I am diligent.	77	66,89,71,82,77	2.289	grit	Q08	s622
369.832	8.5	4.0	survey_medley	reverse	Sometimes I can't stop myself from doing something, even if I know it is wrong.	89	66,89,71,82,77	6.761	brief	Q20	s622
380.741	8.5	3.0	survey_medley	forward	I expect that I will set many new goals in the future.	71	66,89,71,82,77	5.184	future_time	Q23	s622
390.63	8.5	2.0	survey_medley	forward	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	89	66,89,71,82,77	3.622	impulsive_venture	Q38	s622
