onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
3.018	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.524	89.0	False	crit_go	s607
5.274	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.406	89.0	False	crit_go	s607
7.526	0.85	0.35	71.0	motor_selective_stop_signal	71.0	0.455	89.0	False	noncrit_signal	s607
9.881	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.516	89.0	False	crit_stop_failure	s607
12.435	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.516	89.0	False	crit_go	s607
15.389	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.854	89.0	False	crit_stop_failure	s607
17.643	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.525	89.0	False	noncrit_nosignal	s607
19.998	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.453	89.0	False	noncrit_nosignal	s607
22.552	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.528	89.0	False	noncrit_signal	s607
24.806	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.612	89.0	False	noncrit_signal	s607
27.161	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.544	89.0	False	noncrit_signal	s607
29.714	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.567	89.0	False	noncrit_signal	s607
32.166	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.587	89.0	False	noncrit_nosignal	s607
34.522	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.812	89.0	False	crit_go	s607
37.177	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.354	89.0	False	crit_go	s607
39.731	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.386	89.0	False	crit_stop_failure	s607
42.483	0.85	0.2	89.0	motor_selective_stop_signal	71.0	0.399	89.0	False	crit_stop_failure	s607
45.037	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.471	89.0	False	noncrit_signal	s607
47.489	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.75	89.0	False	crit_go	s607
50.245	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.542	89.0	False	noncrit_nosignal	s607
52.801	0.85	0.15	89.0	motor_selective_stop_signal	71.0	0.888	89.0	False	crit_stop_failure	s607
55.157	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.489	89.0	False	noncrit_nosignal	s607
57.409	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.834	89.0	False	crit_go	s607
60.063	0.85	0.1	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s607
62.315	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.423	89.0	False	noncrit_nosignal	s607
64.668	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.679	89.0	False	crit_go	s607
66.923	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.456	89.0	False	noncrit_nosignal	s607
69.278	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.486	89.0	False	noncrit_nosignal	s607
71.631	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.406	89.0	False	noncrit_nosignal	s607
73.885	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.557	89.0	False	noncrit_signal	s607
76.737	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.414	89.0	False	crit_go	s607
79.093	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.425	89.0	False	noncrit_nosignal	s607
81.345	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.361	89.0	False	crit_go	s607
83.698	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.473	89.0	False	crit_go	s607
86.15	0.85	0.15	89.0	motor_selective_stop_signal	71.0	0.416	89.0	False	crit_stop_failure	s607
88.405	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.487	89.0	False	noncrit_signal	s607
90.659	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.521	89.0	False	crit_go	s607
93.414	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.502	89.0	False	noncrit_signal	s607
95.767	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.521	89.0	False	crit_go	s607
98.519	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.513	89.0	False	crit_go	s607
100.975	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.551	89.0	False	crit_go	s607
103.227	0.85	0.1	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s607
105.583	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.447	89.0	False	noncrit_nosignal	s607
108.237	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s607
110.693	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.598	89.0	False	crit_go	s607
112.945	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.449	89.0	False	noncrit_signal	s607
115.299	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.503	89.0	False	noncrit_signal	s607
118.255	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.494	89.0	False	crit_go	s607
120.51	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.46	89.0	False	noncrit_nosignal	s607
123.463	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.444	89.0	False	noncrit_signal	s607
136.426	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.583	89.0	False	crit_stop_failure	s607
138.678	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.468	89.0	False	noncrit_nosignal	s607
141.03	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.472	89.0	False	noncrit_nosignal	s607
143.484	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s607
145.735	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.455	89.0	False	noncrit_signal	s607
148.187	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.359	89.0	False	noncrit_nosignal	s607
150.943	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.409	89.0	False	noncrit_signal	s607
153.195	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.537	89.0	False	crit_go	s607
155.549	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.49	89.0	False	noncrit_signal	s607
158.0	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.455	89.0	False	noncrit_nosignal	s607
160.356	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.555	89.0	False	noncrit_signal	s607
162.611	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.486	89.0	False	noncrit_nosignal	s607
165.164	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.417	89.0	False	noncrit_nosignal	s607
167.621	0.85	0.2	89.0	motor_selective_stop_signal	71.0	0.4	89.0	False	crit_go	s607
170.277	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.555	89.0	False	crit_stop_failure	s607
172.531	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.571	89.0	False	noncrit_signal	s607
175.185	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.523	89.0	False	noncrit_nosignal	s607
177.537	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.497	89.0	False	noncrit_nosignal	s607
179.791	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.515	89.0	False	noncrit_nosignal	s607
182.042	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.423	89.0	False	noncrit_nosignal	s607
184.294	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.828	89.0	False	crit_go	s607
186.648	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.503	89.0	False	noncrit_signal	s607
189.201	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.545	89.0	False	crit_go	s607
191.558	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s607
194.011	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.508	89.0	False	crit_go	s607
196.465	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.425	89.0	False	crit_stop_failure	s607
198.821	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.455	89.0	False	noncrit_signal	s607
201.075	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.582	89.0	False	noncrit_nosignal	s607
203.63	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.468	89.0	False	noncrit_nosignal	s607
206.186	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.482	89.0	False	noncrit_signal	s607
208.442	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.483	89.0	False	noncrit_nosignal	s607
210.695	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s607
213.147	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.451	89.0	False	noncrit_nosignal	s607
215.499	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.505	89.0	False	crit_go	s607
217.75	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.452	89.0	False	noncrit_nosignal	s607
220.905	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.545	89.0	False	crit_go	s607
223.557	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.418	89.0	False	noncrit_signal	s607
225.81	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.503	89.0	False	crit_stop_failure	s607
228.263	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.502	89.0	False	noncrit_signal	s607
231.117	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.489	89.0	False	crit_go	s607
233.569	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.482	89.0	False	noncrit_nosignal	s607
235.823	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.438	89.0	False	noncrit_nosignal	s607
238.078	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.406	89.0	False	noncrit_signal	s607
240.635	0.85	0.15	89.0	motor_selective_stop_signal	71.0	0.571	89.0	False	crit_stop_failure	s607
242.891	0.85	0.1	89.0	motor_selective_stop_signal	71.0	0.684	89.0	False	crit_go	s607
245.243	0.85	0.1	89.0	motor_selective_stop_signal	71.0	0.52	89.0	False	crit_stop_failure	s607
247.594	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.546	89.0	False	noncrit_nosignal	s607
249.846	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.5	89.0	False	noncrit_signal	s607
252.202	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.747	89.0	False	noncrit_nosignal	s607
