onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id
3.018	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
5.521	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.603	probe	AX	s585
7.703	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s585
10.207	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.737	probe	AY	s585
12.53	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s585
15.036	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.73	probe	AY	s585
16.674	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s585
19.181	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.312	probe	BX	s585
21.09	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
23.597	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.676	probe	AX	s585
27.14	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s585
29.644	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.244	probe	BX	s585
31.286	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s585
33.792	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.224	probe	BY	s585
35.299	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
37.808	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.43	probe	AX	s585
39.315	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
41.824	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.414	probe	AX	s585
43.603	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s585
46.11	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.208	probe	BY	s585
48.569	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
51.075	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.364	probe	AX	s585
52.985	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s585
55.491	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.258	probe	BX	s585
57.129	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
59.638	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.373	probe	AX	s585
61.14	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
63.646	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.334	probe	AX	s585
65.284	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
67.795	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.372	probe	AX	s585
69.433	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s585
71.94	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.251	probe	BY	s585
74.396	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
76.903	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s585
78.405	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s585
80.916	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.213	probe	BY	s585
82.421	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
84.93	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.369	probe	AX	s585
86.568	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
89.074	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s585
90.714	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s585
93.221	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.528	probe	AY	s585
94.864	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
97.368	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.458	probe	AX	s585
98.875	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s585
101.384	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.423	probe	AX	s585
