onset	duration	coded_response	experiment_exp_id	item_coding	item_text	key_press	possible_responses	response_time	survey	trial_type	worker_id
1.009	8.5	1.0	survey_medley	reverse	I wish I had more self-discipline.	77	66,89,71,82,77	2.944	brief	Q15	s570
10.082	8.5	2.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	89	66,89	4.102	impulsive_venture	Q39	s570
20.377	8.5	5.0	survey_medley	forward	As I get older, I begin to experience time as limited.	77	66,89,71,82,77	4.85	future_time	Q31	s570
32.167	8.5	3.0	survey_medley	forward	I am good at resisting temptation.	71	66,89,71,82,77	3.204	brief	Q09	s570
41.376	8.5	2.0	survey_medley	forward	I tend to act without thinking when I am really excited.	89	66,89,71,82	5.981	upps	Q37	s570
50.855	8.5	3.0	survey_medley	forward	I am diligent.	71	66,89,71,82,77	3.364	grit	Q08	s570
60.81	8.5	2.0	survey_medley	reverse	I often set a goal but later choose to pursue a different one.	82	66,89,71,82,77	4.247	grit	Q05	s570
72.668	8.5	3.0	survey_medley	forward	When overjoyed, I feel like I cant stop myself from going overboard.	71	66,89,71,82	6.771	upps	Q35	s570
81.876	8.5	4.0	survey_medley	reverse	I often act without thinking through all the alternatives.	89	66,89,71,82,77	4.849	brief	Q21	s570
93.395	8.5	2.0	survey_medley	reverse	I have trouble concentrating.	82	66,89,71,82,77	5.096	brief	Q18	s570
102.4	8.5	4.0	survey_medley	forward	Most of my life lies ahead of me.	82	66,89,71,82,77	4.19	future_time	Q25	s570
111.541	8.5	3.0	survey_medley	reverse	I have a hard time breaking bad habits.	71	66,89,71,82,77	3.538	brief	Q10	s570
121.158	8.5	3.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	71	66,89,71,82,77	6.981	grit	Q06	s570
130.771	8.5	3.0	survey_medley	forward	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	71	66,89,71,82	6.69	upps	Q32	s570
141.066	8.5	3.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	71	66,89,71,82,77	6.29	grit	Q01	s570
151.159	8.5	3.0	survey_medley	forward	I have the sense that time is running out.	71	66,89,71,82,77	4.665	future_time	Q29	s570
160.23	8.5	5.0	survey_medley	forward	I refuse things that are bad for me.	77	66,89,71,82,77	3.089	brief	Q14	s570
170.392	8.5	2.0	survey_medley	forward	Others would say I make bad choices when I am extremely happy about something.	89	66,89,71,82	6.448	upps	Q33	s570
180.281	8.5	1.0	survey_medley	forward	My future seems infinite to me.	66	66,89,71,82,77	3.292	future_time	Q26	s570
189.964	8.5	2.0	survey_medley	forward	When I get really happy about something, I tend to do things that can have bad consequences.	89	66,89,71,82	5.981	upps	Q34	s570
199.51	8.5	3.0	survey_medley	forward	I am able to work effectively toward long-term goals.	71	66,89,71,82,77	4.775	brief	Q19	s570
210.825	8.5	4.0	survey_medley	reverse	I say inappropriate things.	89	66,89,71,82,77	3.277	brief	Q12	s570
220.443	8.5	2.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	89	66,89,71,82	4.58	upps	Q36	s570
229.651	8.5	4.0	survey_medley	forward	I expect that I will set many new goals in the future.	82	66,89,71,82,77	6.256	future_time	Q23	s570
239.197	8.5	4.0	survey_medley	forward	My future is filled with possibilities.	82	66,89,71,82,77	2.506	future_time	Q24	s570
248.674	8.5	4.0	survey_medley	forward	People would say that I have iron self-discipline.	82	66,89,71,82,77	3.772	brief	Q16	s570
257.882	8.5	2.0	survey_medley	forward	Would you enjoy the sensation of skiing very fast down a high mountain slope?	89	66,89	3.621	impulsive_venture	Q40	s570
267.972	8.5	2.0	survey_medley	forward	I could do anything I want in the future.	89	66,89,71,82,77	3.858	future_time	Q27	s570
278.879	8.5	3.0	survey_medley	forward	There are only limited possibilities in my future.	71	66,89,71,82,77	5.64	future_time	Q30	s570
288.768	8.5	3.0	survey_medley	reverse	Sometimes I can't stop myself from doing something, even if I know it is wrong.	71	66,89,71,82,77	5.177	brief	Q20	s570
297.91	8.5	2.0	survey_medley	reverse	Pleasure and fun sometimes keep me from getting work done.	82	66,89,71,82,77	4.177	brief	Q17	s570
308.275	8.5	2.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	82	66,89,71,82,77	6.125	brief	Q13	s570
317.96	8.5	2.0	survey_medley	forward	Setbacks don't discourage me.	89	66,89,71,82,77	4.128	grit	Q02	s570
328.117	8.5	4.0	survey_medley	forward	I am a hard worker.	82	66,89,71,82,77	2.113	grit	Q04	s570
337.324	8.5	3.0	survey_medley	forward	I finish whatever I begin.	71	66,89,71,82,77	3.702	grit	Q07	s570
348.503	8.5	4.0	survey_medley	reverse	I am lazy.	89	66,89,71,82,77	3.111	brief	Q11	s570
357.78	8.5	2.0	survey_medley	forward	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	89	66,89	5.131	impulsive_venture	Q38	s570
367.396	8.5	4.0	survey_medley	forward	There is plenty of time left in my life to make new plans.	82	66,89,71,82,77	5.762	future_time	Q28	s570
376.467	8.5	3.0	survey_medley	reverse	I have been obsessed with a certain idea or project for a short time but later lost interest.	71	66,89,71,82,77	5.784	grit	Q03	s570
385.473	8.5	4.0	survey_medley	forward	Many opportunities await me in the future.	82	66,89,71,82,77	3.144	future_time	Q22	s570
