onset	duration	coded_response	experiment_exp_id	item_coding	item_text	key_press	possible_responses	response_time	survey	trial_type	worker_id
1.006	8.5	4.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	89	66,89,71,82,77	9.744	grit	Q06	s513
12.32	8.5	3.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	71	66,89,71,82,77	4.606	grit	Q01	s513
21.934	8.5	4.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	89	66,89,71,82,77	7.356	brief	Q13	s513
31.141	8.5	2.0	survey_medley	forward	I am good at resisting temptation.	89	66,89,71,82,77	5.445	brief	Q09	s513
40.687	8.5	4.0	survey_medley	reverse	I often act without thinking through all the alternatives.	89	66,89,71,82,77	8.057	brief	Q21	s513
50.164	8.5	5.0	survey_medley	forward	I am a hard worker.	77	66,89,71,82,77	3.679	grit	Q04	s513
59.371	8.5	2.0	survey_medley	forward	There is plenty of time left in my life to make new plans.	89	66,89,71,82,77	8.011	future_time	Q28	s513
69.462	8.5	2.0	survey_medley	forward	I have the sense that time is running out.	89	66,89,71,82,77	2.408	future_time	Q29	s513
80.369	8.5	3.0	survey_medley	reverse	I have a hard time breaking bad habits.	71	66,89,71,82,77	5.066	brief	Q10	s513
90.255	8.5	0.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	-1	66,89	n/a	impulsive_venture	Q39	s513
99.393	8.5	4.0	survey_medley	forward	I finish whatever I begin.	82	66,89,71,82,77	4.666	grit	Q07	s513
109.756	8.5	3.0	survey_medley	forward	Setbacks don't discourage me.	71	66,89,71,82,77	6.156	grit	Q02	s513
119.439	8.5	2.0	survey_medley	forward	People would say that I have iron self-discipline.	89	66,89,71,82,77	5.047	brief	Q16	s513
129.597	8.5	2.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	89	66,89,71,82	7.279	upps	Q36	s513
138.803	8.5	2.0	survey_medley	forward	I am able to work effectively toward long-term goals.	89	66,89,71,82,77	5.358	brief	Q19	s513
149.982	8.5	4.0	survey_medley	reverse	Sometimes I can't stop myself from doing something, even if I know it is wrong.	89	66,89,71,82,77	5.896	brief	Q20	s513
159.257	8.5	5.0	survey_medley	forward	As I get older, I begin to experience time as limited.	77	66,89,71,82,77	4.289	future_time	Q31	s513
168.87	8.5	2.0	survey_medley	forward	Others would say I make bad choices when I am extremely happy about something.	89	66,89,71,82	4.827	upps	Q33	s513
177.94	8.5	6.0	survey_medley	reverse	Pleasure and fun sometimes keep me from getting work done.	-1	66,89,71,82,77	n/a	brief	Q17	s513
186.943	8.5	5.0	survey_medley	forward	I am diligent.	77	66,89,71,82,77	0.147	grit	Q08	s513
201.248	8.5	4.0	survey_medley	forward	I tend to act without thinking when I am really excited.	82	66,89,71,82	8.849	upps	Q37	s513
210.319	8.5	4.0	survey_medley	reverse	I say inappropriate things.	89	66,89,71,82,77	3.299	brief	Q12	s513
220.614	8.5	2.0	survey_medley	forward	My future is filled with possibilities.	89	66,89,71,82,77	6.817	future_time	Q24	s513
232.404	8.5	4.0	survey_medley	reverse	I have trouble concentrating.	89	66,89,71,82,77	5.827	brief	Q18	s513
241.611	8.5	0.0	survey_medley	forward	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	-1	66,89	n/a	impulsive_venture	Q38	s513
251.089	8.5	4.0	survey_medley	forward	I expect that I will set many new goals in the future.	82	66,89,71,82,77	4.547	future_time	Q23	s513
261.043	8.5	3.0	survey_medley	forward	There are only limited possibilities in my future.	71	66,89,71,82,77	6.116	future_time	Q30	s513
272.901	8.5	2.0	survey_medley	reverse	I have been obsessed with a certain idea or project for a short time but later lost interest.	82	66,89,71,82,77	9.028	grit	Q03	s513
282.109	8.5	2.0	survey_medley	forward	I could do anything I want in the future.	89	66,89,71,82,77	3.754	future_time	Q27	s513
293.627	8.5	2.0	survey_medley	forward	When overjoyed, I feel like I cant stop myself from going overboard.	89	66,89,71,82	4.674	upps	Q35	s513
302.63	8.5	3.0	survey_medley	forward	Most of my life lies ahead of me.	71	66,89,71,82,77	5.611	future_time	Q25	s513
311.769	8.5	4.0	survey_medley	reverse	I am lazy.	89	66,89,71,82,77	4.724	brief	Q11	s513
321.382	8.5	4.0	survey_medley	forward	I refuse things that are bad for me.	82	66,89,71,82,77	3.574	brief	Q14	s513
330.996	8.5	3.0	survey_medley	forward	Many opportunities await me in the future.	71	66,89,71,82,77	6.121	future_time	Q22	s513
341.291	8.5	4.0	survey_medley	reverse	I often set a goal but later choose to pursue a different one.	89	66,89,71,82,77	6.212	grit	Q05	s513
351.381	8.5	2.0	survey_medley	forward	When I get really happy about something, I tend to do things that can have bad consequences.	89	66,89,71,82	6.242	upps	Q34	s513
360.452	8.5	2.0	survey_medley	forward	My future seems infinite to me.	89	66,89,71,82,77	2.327	future_time	Q26	s513
370.61	8.5	4.0	survey_medley	forward	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	82	66,89,71,82	9.58	upps	Q32	s513
380.497	8.5	2.0	survey_medley	reverse	I wish I had more self-discipline.	82	66,89,71,82,77	4.249	brief	Q15	s513
390.178	8.5	0.0	survey_medley	forward	Would you enjoy the sensation of skiing very fast down a high mountain slope?	-1	66,89	n/a	impulsive_venture	Q40	s513
